1;1;JEFATURA DE LA OFICINA DEL EJECUTIVO ESTATAL;JOEE;LIC. ADOLFO SALAZAR RAZO;Jefe de la Oficina del Ejecutivo Estatal;JOEE@institucion.test
2;1;SECRETARÍA DE GOBIERNO;SEGOB;DR. ÁLVARO BRACAMONTE SIERRA;Secretario de Gobierno;SEGOB@institucion.test
3;1;SECRETARÍA DE SEGURIDAD PÚBLICA;SEGURIDAD;LIC. MARÍA DOLORES DEL RÍO SÁNCHEZ;Secretaria de Seguridad Pública;SEGURIDAD@institucion.test
4;1;SECRETARÍA DEL TRABAJO;TRABAJO;MTRO. FRANCISCO VÁZQUEZ VALENCIA;Secretario del Trabajo;TRABAJO@institucion.test
5;1;SECRETARÍA DE INFRAESTRUCTURA Y DESARROLLO URBANO;SIDUR;ING. HERIBERTO MARCELO AGUILAR CASTILLO;Secretario de Infraestructura y Desarrollo Urbano;SIDUR@institucion.test
6;1;SECRETARÍA DE ECONOMÍA;ECONOMIA;ING. ARQ. ARMANDO VILLA ORDUÑO;Secretario de Economía;ECONOMIA@institucion.test
7;1;"SECRETARÍA DE AGRICULTURA,  GANADERÍA,  RECURSOS HIDRÁULICOS,  PESCA Y ACUACULTURA";SAGARHPA;MTRA. FÁTIMA YOLANDA RODRÍGUEZ MENDOZA;"Secretaria de Agricultura, Ganadería, Recursos Hidráulicos, Pesca y Acuacultura";SAGARHPA@institucion.test
8;1;SECRETARÍA DEL TURISMO;TURISMO;MTRA. CÉLIDA TERESA LÓPEZ CÁRDENAS;Secretaria de Turismo;TURISMO@institucion.test
9;1;SECRETARÍA DE EDUCACIÓN Y CULTURA;SEC;DR. AARÓN AURELIO GRAGEDA BUSTAMANTE;Secretario de Educación y Cultura;SEC@institucion.test
10;1;SECRETARÍA DE SALUD PÚBLICA;SALUD;DR. JOSÉ LUIS ALOMÍA ZEGARRA;Secretario de Salud Pública;SALUD@institucion.test
11;1;SECRETARÍA DE DESARROLLO SOCIAL;SEDESSON;MTRA. MARÍA WENDY BRICEÑO ZULOAGA;Secretaria de Desarrollo Social;SEDESSON@institucion.test
12;1;SECRETARÍA DE LA CONTRALORÍA GENERAL DEL ESTADO;CONTRALORIA;LIC. GUILLERMO ALEJANDRO NORIEGA ESPARZA;Secretario de la Contraloría General del Estado;CONTRALORIA@institucion.test
