Secretaría de Salud,SSS,SSS
"Secretaría de Agricultura, Ganadería, Recursos Hidráulicos, Pesca y Acuacultura",SAGARHPA,SAGARHPA
Secretaría de Desarrollo Social,SEDESSON,SEDESSON
Centro de Evaluación y Control de Confianza,C3,C3
Centro Estatal de Transplantes del Estado de Sonora,CEESTRA,CEESTRA
Centro Regional de Formación Profesional Docente de Sonora,CRESON,CRESON
Colegio de Bachilleres del Estado de Sonora,COBACH,COBACH
Colegio de Estudios Científicos y Tecnológicos del Estado de Sonora,CECYTES,CECYTES
Comisión de Ecología y Desarrollo Sustentable del Estado de Sonora,CEDES,CEDES
Comisión de Fomento al Turismo,COFETUR,COFETUR
Comisión de Vivienda del Estado de Sonora,COVES,COVES
Comisión del Deporte del Estado de Sonora,CODESON,CODESON
Comisión Estatal de Bienes y Concesiones,CEBYC,CEBYC
Comisión Estatal del Agua,CEA,CEA
Comisión Estatal para el Desarrollo de los Pueblos y Comunidades Indígenas,CEDIS,CEDIS
Colegio de Educación Profesional Técnica del Estado de Sonora,CONALEP,CONALEP
Consejo Estatal de Concertación para la Obra Pública,CECOP,CECOP
Coordinación Estatal de Protección Civil,CEPC,Protección Civil
Fideicomiso Fondo Revolvente,FFRS,FFRS
Fideicomiso Maestro para el Financiamiento del Sector Agropecuario en Sonora,AGROSON,AGROSON
Progreso Fideicomiso Promotor Urbano de Sonora,Progreso,Progreso
Financiera para el Desarrollo Económico de Sonora,FIDESON,FIDESON
Fondo Estatal de Solidaridad,FES,FES
Fondo Estatal para la Modernización del Transporte,FEMOT,FEMOT
"Fundación PRODUCE, A.C.",PRODUCE,PRODUCE
Gubernatura,Ejecutivo,Ejecutivo
Instituto Catastral y Registral del Estado de Sonora,ICRESON,ICRESON
Instituto de Acuacultura del Estado de Sonora,IAES,IAES
Instituto de Becas y Crédito Educativo del Estado de Sonora,IBCEES,IBCEES
Instituto de Capacitación para el Trabajo del Estado de Sonora,ICATSON,ICATSON
Instituto Sonorense de Cultura,ISC,ISC
Instituto Sonorense de Infraestructura Educativa,ISIE,ISIE
Instituto Sonorense de la Juventud,ISJ,ISJ
Instituto Sonorense de las Mujeres,ISM,ISM
Instituto Sonorense para la Educación de los Adultos,ISEA,ISEA
Instituto Superior de Seguridad Pública del Estado de Sonora,ISSPE,ISSPE
Instituto Tecnológico Superior de Cajeme,ITESCA,ITESCA
Instituto Tecnológico Superior de Cananea,ITESCAN,ITESCAN
Instituto Tecnológico Superior de Puerto Peñasco,ITSPP,ITSPP
Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado de Sonora,ISSSTESON,ISSSTESON
Junta de Caminos del Estado de Sonora,JCES,JCES
Procuraduría Ambiental del Estado de Sonora,PROAES,PROAES
PROSONORA,PROSONORA,PROSONORA
Radio Sonora,RADIOSON,RADIOSON
Secretaría de Economía,SE,SE
Secretaría de Educación y Cultura,SEC,SEC
Secretaría de Gobierno,SG,SG
Secretaría de Hacienda,SH,SH
Secretaría de Infraestructura y Desarrollo Urbano,SIDUR,SIDUR
Secretaría de la Contraloría General,SCG,SCG
Secretaría de Seguridad Pública,SSP,SSP
Secretaría de Trabajo,STES,STES
Secretaría Técnica,ST,ST
Servicio de Administración y Enajenación de Bienes del Estado de Sonora,SAEBE,SAEBE
Servicios de Salud de Sonora,SSS,SSS
Servicios Educativos del Estado de Sonora,SEES,SEES
Sistema Estatal de Televisión Sonorense,SETS,SETS
Sistema para el Desarrollo Integral de la Familia en el Estado de Sonora,DIF,DIF
Telefonía Rural de Sonora,TRS,Telefonía Rural
Telemax,TELEMAX,TELEMAX
Universidad de la Sierra,UNISIERRA,UNISIERRA
Universidad Estatal de Sonora,UES,UES
Universidad Tecnológica de Etchojoa,UTE,UTE
Universidad Tecnológica de Guaymas,UTG,UTG
Universidad Tecnológica de Hermosillo,UTH,UTH
Universidad Tecnológica de Nogales,UTN,UTN
Universidad Tecnológica de Puerto Peñasco,UTPP,UTPP
Universidad Tecnológica de San Luis Río Colorado,UTSLC,UTSLC
Universidad Tecnológica del Sur de Sonora,UTSS,UTSS
Fideicomiso Puente Colorado,FPC,Fideicomiso Puente Colorado
Consejo Sonorense Regulador de Bacanora,CSRB,CONSEJO SONORENSE REGULADOR DE BACANORA
Fondo de Operación de Obra Sonora SI,FOOSSI,Fondo de Operación de Obra Sonora SI
Secretaría de la Consejería Jurídica del Poder Ejecutivo,SCJPE,Sec de la Consejería Jurídica del Poder Ejecutivo
Secretaría Ejecutiva del Sistema Estatal Anticorrupción,SESEA,Sec. Ejecutiva del Sistema Estatal Anticorrupción
Comité de Campaña para la Erradicación Tuberculosis Bovina y Brucelosis en Edo. Son.,CCETBBES,"Campaña Erradicación TuberculosisBovinaBrucelosis "
Operadora de Proyectos Estratégicos del Estado de Sonora,IMPULSOR,IMPULSOR
"Administración Portuaria Integral de Sonora, S.A. de C.V.",APISON,APISON
Consejo Estatal de Ciencia y Tecnología,COECYT,COECYT
